-21848,21848,,,,17758,,21820,21834,,,21821,,,26,,,,,,,,,,,8
-21874,21874,,,,17861,,21830,21854,,,21829,,,5,,,,,,,,,,,7
-21879,21879,,,,17961,,21840,21866,,,21836,,,15,,,,,,,,,,,9
-21894,21894,,,,18060,,21851,21880,,,21845,,,26,,,,,,,,,,,11
-21920,21920,,,,18156,,21865,21900,,,21856,,,12,,,,,,,,,,,11
-21932,21932,,,,18250,,21878,21916,,,21867,,,-2,,,,,,,,,,,10
-21930,21930,,,,18342,,21888,21923,,,21877,,,11,,,,,,,,,,,9
-21941,21941,,,,18432,,21899,21932,,,21886,,,25,,,,,,,,,,,12
-21966,21966,,,,18521,,21912,21949,,,21898,,,-5,,,,,,,,,,,9
-21961,21961,,,,18607,,21922,21955,,,21907,,,14,,,,,,,,,,,11
-21975,21975,,,,18691,,21932,21965,,,21918,,,16,,,,,,,,,,,10
-21991,21991,,,,18773,,21944,21978,,,21928,,,6,,,,,,,,,,,11
-21997,21997,,,,18854,,21954,21987,,,21939,,,20,,,,,,,,,,,11
-22017,22017,,,,18933,,21967,22002,,,21950,,,-74,,,,,,,,,,,-1
-21943,21943,,,,19008,,21962,21972,,,21949,,,-103,,,,,,,,,,,-16
-21840,21840,,,,19079,,21937,21906,,,21933,,,-40,,,,,,,,,,,-20
-21800,21800,,,,19147,,21910,21853,,,21913,,,-6,,,,,,,,,,,-18
-21794,21794,,,,19213,,21887,21823,,,21895,,,18,,,,,,,,,,,-13
-21812,21812,,,,19278,,21872,21817,,,21882,,,4,,,,,,,,,,,-10
-21816,21816,,,,19342,,21860,21816,,,21872,,,12,,,,,,,,,,,-6
-21828,21828,,,,19404,,21854,21822,,,21866,,,-1,,,,,,,,,,,-6
-21827,21827,,,,19464,,21848,21824,,,21860,,,9,,,,,,,,,,,-4
-21836,21836,,,,19524,,21846,21830,,,21856,,,9,,,,,,,,,,,-2
-21845,21845,,,,19582,,21846,21837,,,21854,,,-4,,,,,,,,,,,-2
-21841,21841,,,,19638,,21845,21839,,,21852,,,-5,,,,,,,,,,,-2
-21836,21836,,,,19693,,21843,21837,,,21850,,,-2,,,,,,,,,,,-3
-21834,21834,,,,19747,,21841,21835,,,21847,,,28,,,,,,,,,,,2
-21862,21862,,,,19799,,21845,21848,,,21849,,,19,,,,,,,,,,,5
-21881,21881,,,,19851,,21852,21864,,,21854,,,16,,,,,,,,,,,6
-21897,21897,,,,19903,,21861,21880,,,21860,,,7,,,,,,,,,,,7
-21904,21904,,,,19953,,21869,21892,,,21867,,,25,,,,,,,,,,,9
-21929,21929,,,,20002,,21881,21910,,,21876,,,5,,,,,,,,,,,9
-21934,21934,,,,20050,,21892,21922,,,21885,,,10,,,,,,,,,,,9
-21944,21944,,,,20098,,21902,21933,,,21894,,,19,,,,,,,,,,,10
-21963,21963,,,,20144,,21914,21948,,,21904,,,15,,,,,,,,,,,11
-21978,21978,,,,20190,,21927,21963,,,21915,,,5,,,,,,,,,,,10
-21983,21983,,,,20235,,21938,21973,,,21925,,,7,,,,,,,,,,,10
-21990,21990,,,,20279,,21948,21981,,,21935,,,16,,,,,,,,,,,10
-22006,22006,,,,20322,,21960,21993,,,21945,,,15,,,,,,,,,,,12
-22021,22021,,,,20364,,21972,22007,,,21957,,,3,,,,,,,,,,,10
-22024,22024,,,,20406,,21982,22015,,,21967,,,17,,,,,,,,,,,11
-22041,22041,,,,20447,,21994,22028,,,21978,,,2,,,,,,,,,,,9
-22043,22043,,,,20487,,22004,22035,,,21987,,,-75,,,,,,,,,,,-3
-21968,21968,,,,20524,,21996,22001,,,21984,,,-101,,,,,,,,,,,-17
-21867,21867,,,,20557,,21970,21934,,,21967,,,-67,,,,,,,,,,,-25
-21800,21800,,,,20588,,21936,21867,,,21942,,,10,,,,,,,,,,,-20
-21810,21810,,,,20619,,21911,21838,,,21922,,,33,,,,,,,,,,,-12
-21843,21843,,,,20649,,21897,21840,,,21910,,,3,,,,,,,,,,,-10
-21846,21846,,,,20679,,21887,21843,,,21900,,,-9,,,,,,,,,,,-9
-21837,21837,,,,20708,,21877,21840,,,21891,,,36,,,,,,,,,,,-3
-21873,21873,,,,20737,,21876,21856,,,21888,,,-1,,,,,,,,,,,-2
-21872,21872,,,,20766,,21875,21864,,,21886,,,-4,,,,,,,,,,,-3
-21868,21868,,,,20793,,21874,21866,,,21883,,,-8,,,,,,,,,,,-4
-21860,21860,,,,20820,,21871,21863,,,21879,,,7,,,,,,,,,,,-2
-21867,21867,,,,20846,,21870,21865,,,21877,,,13,,,,,,,,,,,1
-21880,21880,,,,20872,,21872,21872,,,21878,,,34,,,,,,,,,,,5
-21914,21914,,,,20898,,21880,21893,,,21883,,,-4,,,,,,,,,,,4
-21910,21910,,,,20923,,21886,21901,,,21887,,,33,,,,,,,,,,,8
-21943,21943,,,,20949,,21897,21922,,,21895,,,16,,,,,,,,,,,10
-21959,21959,,,,20974,,21910,21940,,,21905,,,8,,,,,,,,,,,9
-21967,21967,,,,20999,,21921,21953,,,21914,,,2,,,,,,,,,,,8
-21969,21969,,,,21023,,21930,21961,,,21922,,,10,,,,,,,,,,,9
-21979,21979,,,,21047,,21940,21970,,,21931,,,19,,,,,,,,,,,10
-21998,21998,,,,21071,,21952,21984,,,21941,,,4,,,,,,,,,,,9
-22002,22002,,,,21094,,21962,21993,,,21950,,,18,,,,,,,,,,,10
-22020,22020,,,,21117,,21973,22006,,,21960,,,10,,,,,,,,,,,11
-22030,22030,,,,21140,,21984,22018,,,21971,,,-3,,,,,,,,,,,8
-22027,22027,,,,21162,,21993,22022,,,21979,,,20,,,,,,,,,,,10
-22047,22047,,,,21184,,22004,22034,,,21989,,,20,,,,,,,,,,,12
-22067,22067,,,,21206,,22016,22050,,,22001,,,-19,,,,,,,,,,,7
-22048,22048,,,,21227,,22022,22049,,,22008,,,39,,,,,,,,,,,12
-22087,22087,,,,21249,,22035,22068,,,22020,,,-25,,,,,,,,,,,6
-22062,22062,,,,21269,,22040,22065,,,22026,,,-66,,,,,,,,,,,-5
-21996,21996,,,,21287,,22031,22030,,,22021,,,-115,,,,,,,,,,,-21
-21881,21881,,,,21302,,22001,21955,,,22000,,,-29,,,,,,,,,,,-22
-21852,21852,,,,21316,,21971,21903,,,21978,,,-8,,,,,,,,,,,-20
-21844,21844,,,,21329,,21946,21873,,,21958,,,40,,,,,,,,,,,-11
-21884,21884,,,,21343,,21933,21878,,,21947,,,6,,,,,,,,,,,-9
-21890,21890,,,,21356,,21925,21884,,,21938,,,11,,,,,,,,,,,-6
-21901,21901,,,,21370,,21920,21892,,,21932,,,3,,,,,,,,,,,-4
-21904,21904,,,,21383,,21916,21898,,,21928,,,-2,,,,,,,,,,,-4
-21902,21902,,,,21396,,21913,21900,,,21924,,,14,,,,,,,,,,,-1
-21916,21916,,,,21409,,21914,21908,,,21923,,,1,,,,,,,,,,,-1
-21917,21917,,,,21422,,21914,21912,,,21922,,,5,,,,,,,,,,,0
-21922,21922,,,,21435,,21916,21917,,,21922,,,-7,,,,,,,,,,,-1
-21915,21915,,,,21447,,21916,21916,,,21921,,,42,,,,,,,,,,,5
-21957,21957,,,,21459,,21924,21936,,,21926,,,-1,,,,,,,,,,,4
-21956,21956,,,,21472,,21930,21946,,,21930,,,7,,,,,,,,,,,5
-21963,21963,,,,21484,,21937,21954,,,21935,,,22,,,,,,,,,,,8
-21985,21985,,,,21496,,21946,21969,,,21943,,,26,,,,,,,,,,,10
-22011,22011,,,,21509,,21959,21990,,,21953,,,10,,,,,,,,,,,10
-22021,22021,,,,21522,,21971,22005,,,21963,,,17,,,,,,,,,,,11
-22038,22038,,,,21535,,21985,22021,,,21974,,,-8,,,,,,,,,,,8
-22030,22030,,,,21547,,21994,22025,,,21982,,,8,,,,,,,,,,,9
-22038,22038,,,,21560,,22002,22031,,,21991,,,,,,,,,,,,,,
